repo,file_path,language,framework,matched_keywords,html_url
gemwalletcom/gem-ios,Features/InfoSheet/Sources/Scenes/InfoSheetScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; NavigationStack; .padding(; .frame(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/InfoSheet/Sources/Scenes/InfoSheetScene.swift
gemwalletcom/gem-ios,Features/InfoSheet/Sources/Types/InfoSheetModel.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/InfoSheet/Sources/Types/InfoSheetModel.swift
gemwalletcom/gem-ios,Features/InfoSheet/Sources/Types/InfoSheetType.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/InfoSheet/Sources/Types/InfoSheetType.swift
gemwalletcom/gem-ios,Features/InfoSheet/Sources/Views/InfoSheetView.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; VStack; .frame(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/InfoSheet/Sources/Views/InfoSheetView.swift
gemwalletcom/gem-ios,Features/LockManager/Sources/LockWindowManager.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/LockManager/Sources/LockWindowManager.swift
gemwalletcom/gem-ios,Features/LockManager/Sources/Protocols/LockWindowManageable.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/LockManager/Sources/Protocols/LockWindowManageable.swift
gemwalletcom/gem-ios,Features/LockManager/Sources/Scenes/LockScreenScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; VStack; HStack; ZStack; ViewBuilder; .padding(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/LockManager/Sources/Scenes/LockScreenScene.swift
gemwalletcom/gem-ios,Features/LockManager/Sources/ViewModels/LockSceneViewModel.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/LockManager/Sources/ViewModels/LockSceneViewModel.swift
gemwalletcom/gem-ios,Features/LockManager/Sources/ViewModifier/LockWindowManagerViewModifier.swift,Swift,SwiftUI,import SwiftUI; View {; some View,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/LockManager/Sources/ViewModifier/LockWindowManagerViewModifier.swift
gemwalletcom/gem-ios,Features/ManageWallets/Sources/Scenes/WalletDetailScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; NavigationStack; VStack; HStack; List {; .padding(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/ManageWallets/Sources/Scenes/WalletDetailScene.swift
gemwalletcom/gem-ios,Features/ManageWallets/Sources/Scenes/WalletsScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; HStack; List {; ForEach(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/ManageWallets/Sources/Scenes/WalletsScene.swift
gemwalletcom/gem-ios,Features/ManageWallets/Sources/ViewModels/WalletIDetailViewModel.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/ManageWallets/Sources/ViewModels/WalletIDetailViewModel.swift
gemwalletcom/gem-ios,Features/ManageWallets/Sources/ViewModels/WalletsSceneViewModel.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/ManageWallets/Sources/ViewModels/WalletsSceneViewModel.swift
gemwalletcom/gem-ios,Features/ManageWallets/Sources/Views/WalletListItemView.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; HStack; ZStack; .padding(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/ManageWallets/Sources/Views/WalletListItemView.swift
gemwalletcom/gem-ios,Features/MarketInsight/Sources/Scenes/ChartScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; ForEach(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/MarketInsight/Sources/Scenes/ChartScene.swift
gemwalletcom/gem-ios,Features/MarketInsight/Sources/Scenes/MarketsScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; List {,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/MarketInsight/Sources/Scenes/MarketsScene.swift
